Emotion,AU1,AU2,AU2_r,AU2_l,AU4,AU6,AU7,AU7_r,AU7_l,AU9,AU15,AU15_r,AU15_l,AU20,AU23,AU25,AU26
0.0,1.18,1.797,1.82,1.775,5.016,2.137,0.261,0.261,0.26,2.091,1.059,1.088,1.03,0.621,0.604,0.0,0.0
0.0,1.137,1.959,2.103,1.815,4.841,2.087,0.301,0.312,0.29,2.09,1.079,1.019,1.139,0.415,0.447,0.0,0.01
0.0,1.141,1.956,2.094,1.818,4.969,2.115,0.304,0.316,0.292,2.151,1.026,1.013,1.04,0.474,0.505,0.0,0.0
0.0,1.26,1.981,2.152,1.81,5.006,2.205,0.327,0.34,0.313,2.267,0.922,0.841,1.003,0.519,0.475,0.0,0.0
0.0,1.219,2.01,2.199,1.82,5.056,2.207,0.295,0.301,0.29,2.248,0.879,0.786,0.971,0.518,0.509,0.0,0.01
0.0,1.186,1.957,2.161,1.752,4.964,2.18,0.302,0.312,0.292,2.224,0.984,0.958,1.01,0.524,0.484,0.0,0.0
0.0,1.254,2.05,2.234,1.865,5.06,2.134,0.309,0.317,0.301,2.21,1.033,0.981,1.085,0.472,0.532,0.0,0.0
0.0,1.11,1.643,1.904,1.383,4.277,2.144,0.256,0.275,0.237,2.229,0.968,1.189,0.746,0.513,0.428,0.0,0.0
0.0,1.178,1.708,1.937,1.479,4.419,2.16,0.266,0.275,0.257,2.247,0.985,1.099,0.871,0.547,0.446,0.0,0.01
0.0,1.188,1.748,1.982,1.515,4.652,2.147,0.268,0.267,0.269,2.267,0.994,1.196,0.793,0.507,0.406,0.0,0.0
0.0,1.192,1.669,1.945,1.393,4.424,2.085,0.256,0.254,0.257,2.165,1.111,1.329,0.894,0.503,0.412,0.0,0.01
0.0,1.085,1.635,1.9,1.37,4.201,2.184,0.258,0.29,0.225,2.234,0.955,1.115,0.795,0.484,0.401,0.0,0.0
0.0,1.162,1.653,1.863,1.444,4.394,2.028,0.252,0.266,0.238,2.218,1.111,1.241,0.982,0.456,0.406,0.0,0.01
